@RELATION knnBarkDetect
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {barks,junk}

@DATA
0.044506,0.006129,3.172708,0.102738,0.136495,0.353731,0.024998,0.063825,-33.433675,1.333777,-0.962301,-0.148379,-0.157337,-0.025047,0.292327,0.130235,-0.009382,-0.040079,-0.103214,0.021128,-0.086438,0.003289,0.007919,0.008726,0.007720,0.009182,0.004304,0.161831,0.003009,0.003156,0.002802,0.006152,0.001875,0.047419,0.023813,0.008710,0.129842,0.041202,0.052856,0.261692,0.082670,0.044695,5.505210,0.773515,0.823306,0.320871,0.324497,0.256919,0.234091,0.243991,0.319595,0.262122,0.257091,0.191722,0.175978,0.004884,0.012190,0.007745,0.013293,0.012148,0.006179,0.095175,0.003514,0.003101,0.003574,0.006489,0.002452,0.024225,barks
0.028014,0.005064,3.119363,0.086947,0.123533,0.202010,0.038803,0.037926,-36.757926,1.451232,-0.562517,-0.222821,-0.140448,0.099101,0.249576,-0.030992,-0.007081,0.165881,-0.180393,-0.007197,-0.040683,0.003282,0.004277,0.007333,0.002499,0.004008,0.004107,0.213267,0.003932,0.005194,0.002309,0.006358,0.002359,0.059855,0.023252,0.010558,0.237865,0.034818,0.051040,0.214045,0.127481,0.045747,6.527624,0.822402,0.806142,0.390782,0.313273,0.274588,0.255572,0.211129,0.228792,0.298361,0.250840,0.184943,0.171095,0.005760,0.007486,0.008879,0.004763,0.005379,0.006771,0.094466,0.006961,0.009191,0.003040,0.006729,0.004432,0.024373,barks
0.013158,0.004831,3.216326,0.050546,0.079779,0.074775,0.034657,0.013750,-41.278762,0.879080,-0.301021,0.216823,-0.027045,0.053910,0.148319,0.105938,0.082178,-0.054285,-0.109844,0.005926,-0.037139,0.000962,0.001522,0.006091,0.003974,0.001273,0.000320,0.215196,0.000311,0.001074,0.001344,0.002653,0.000241,0.059399,0.013453,0.006463,0.087444,0.039506,0.061573,0.085537,0.131111,0.017407,7.632210,0.678784,0.470643,0.191721,0.152062,0.077060,0.182715,0.148485,0.135695,0.118260,0.147693,0.100525,0.079252,0.001506,0.002390,0.008333,0.006830,0.001495,0.000485,0.061022,0.000558,0.001996,0.002836,0.002453,0.000386,0.016452,barks
0.018402,0.004082,3.149983,0.078224,0.124088,0.076166,0.042592,0.016560,-37.350791,1.211059,-0.432017,0.218146,0.010791,0.133393,0.142495,0.101477,0.173702,-0.104460,-0.212164,0.116855,-0.008204,0.004323,0.003520,0.010637,0.005835,0.001233,0.001510,0.242581,0.000513,0.000787,0.001670,0.004364,0.001162,0.068255,0.017100,0.007730,0.163566,0.048554,0.081906,0.092264,0.155617,0.018814,8.018570,0.881091,0.845578,0.239109,0.373163,0.158230,0.196826,0.204711,0.275702,0.134777,0.277457,0.115690,0.092093,0.007961,0.006964,0.012106,0.010000,0.001113,0.002567,0.131273,0.000581,0.001047,0.002617,0.004017,0.002572,0.034156,barks
0.040511,0.003267,3.151777,0.110106,0.149299,0.346210,0.023268,0.060059,-35.371085,1.736649,-0.634306,-0.345721,-0.116942,0.095014,0.253695,-0.061461,-0.046244,0.116743,-0.084011,0.002773,-0.063744,0.002986,0.002649,0.008717,0.003195,0.004256,0.005315,0.223703,0.004525,0.005090,0.005113,0.008760,0.003493,0.062493,0.029210,0.008182,0.151817,0.039355,0.057237,0.322049,0.081574,0.065420,5.620465,1.049501,0.948862,0.341003,0.254110,0.173137,0.251600,0.223101,0.207802,0.211150,0.212409,0.167703,0.167612,0.003897,0.003468,0.011113,0.003698,0.004363,0.008707,0.126904,0.006251,0.006180,0.006228,0.008657,0.004464,0.033094,barks
0.012193,0.003383,3.152233,0.056636,0.092584,0.051080,0.037604,0.009653,-42.078048,1.168095,-0.228466,-0.030231,-0.095145,0.093209,0.112053,0.033937,0.025855,0.025640,-0.122520,0.093810,-0.054239,0.002148,0.001766,0.007163,0.002270,0.004289,0.001015,0.217695,0.000783,0.000387,0.001755,0.004254,0.002344,0.060928,0.010612,0.008596,0.179561,0.031019,0.049612,0.057512,0.143635,0.010676,5.506135,0.693954,0.413463,0.249018,0.212331,0.137089,0.146691,0.122223,0.118083,0.106495,0.181765,0.109274,0.119360,0.003257,0.002480,0.012871,0.003863,0.007227,0.001649,0.060365,0.001032,0.000466,0.002499,0.004828,0.005207,0.015064,barks
0.011248,0.003160,3.177729,0.060463,0.096612,0.047836,0.036838,0.010597,-42.474306,0.999832,-0.015231,0.116521,0.070240,0.128087,0.027380,0.050388,0.050421,-0.053806,0.019293,0.031660,-0.049275,0.001558,0.002033,0.004961,0.000764,0.001599,0.001870,0.240974,0.001146,0.000586,0.000493,0.004697,0.000951,0.066984,0.011331,0.008778,0.139574,0.041608,0.064453,0.063908,0.145628,0.017696,6.028705,0.648169,0.410196,0.188367,0.210979,0.161333,0.094058,0.106386,0.135820,0.109300,0.107440,0.096697,0.100628,0.002674,0.006807,0.007518,0.001618,0.002196,0.003558,0.077810,0.002562,0.001343,0.001022,0.006574,0.001521,0.020654,barks
0.027539,0.008671,3.153803,0.087014,0.131971,0.184112,0.040680,0.039230,-38.667009,1.575076,-0.370001,0.058305,-0.000021,-0.194332,-0.011293,0.061666,0.094093,0.067460,0.065685,0.034208,-0.061370,0.007216,0.007916,0.005037,0.003832,0.002168,0.004467,0.206684,0.001754,0.001458,0.005600,0.006344,0.004861,0.061297,0.028054,0.024548,0.204679,0.057991,0.081709,0.251266,0.144338,0.050474,7.441387,1.013580,0.812423,0.350045,0.372846,0.318263,0.182494,0.161939,0.345908,0.291925,0.260446,0.220758,0.162128,0.014233,0.009804,0.010241,0.005778,0.002451,0.008611,0.131437,0.003440,0.002182,0.010500,0.011210,0.013111,0.031844,barks
0.021812,0.003776,3.097817,0.080412,0.118059,0.122217,0.043395,0.019833,-38.820163,1.405605,-0.380063,0.055712,-0.161520,0.009720,-0.006518,-0.006449,0.163690,0.084600,-0.076157,-0.071499,-0.092983,0.004110,0.004814,0.010075,0.002940,0.002164,0.001435,0.216862,0.002522,0.002056,0.004728,0.006268,0.004691,0.061289,0.017188,0.010417,0.224705,0.048377,0.074343,0.142172,0.155575,0.025695,7.424305,0.951938,0.925759,0.262239,0.392818,0.248309,0.193855,0.174628,0.270356,0.219013,0.227188,0.190423,0.142799,0.004928,0.007196,0.011141,0.006086,0.002538,0.002241,0.117153,0.005756,0.003146,0.006231,0.006153,0.008122,0.029809,barks
0.008691,0.003332,3.194391,0.055433,0.094843,0.040089,0.033408,0.007139,-42.468098,1.073883,0.022937,0.184035,0.111724,0.056667,0.004374,0.073968,0.013758,-0.089438,-0.009873,0.024753,-0.029097,0.000417,0.000829,0.002984,0.000523,0.002452,0.000983,0.247623,0.000105,0.000118,0.000436,0.003347,0.000857,0.068448,0.010928,0.008371,0.123002,0.043619,0.075241,0.085853,0.130927,0.016674,6.733138,0.870234,0.304526,0.227855,0.158118,0.092593,0.071805,0.092285,0.079844,0.104757,0.105873,0.077802,0.072234,0.000665,0.002193,0.003845,0.001061,0.004648,0.002063,0.083853,0.000281,0.000188,0.000633,0.003210,0.002340,0.022746,barks
