@RELATION knnBarkType
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {bark,woof}

@DATA
0.076421,0.044700,3.112065,0.131425,0.152417,0.659163,0.004509,0.127917,-23.498518,0.675364,-1.618995,-0.445580,-0.693516,0.056483,0.560316,-0.176430,0.013264,0.162414,-0.249600,0.091210,-0.096607,0.005345,0.005918,0.008896,0.008487,0.022742,0.007177,0.035796,0.007408,0.009556,0.005956,0.007160,0.003709,0.014643,0.019097,0.044303,0.104111,0.013823,0.015681,0.285854,0.002713,0.062710,1.615143,0.153070,0.586609,0.206737,0.253336,0.119817,0.312886,0.334041,0.376395,0.449923,0.376746,0.174830,0.155828,0.008476,0.007212,0.010141,0.008005,0.020713,0.007119,0.038618,0.006582,0.006800,0.005688,0.003852,0.001935,0.007623,bark
0.064541,0.038941,3.165869,0.115502,0.133696,0.544774,0.003819,0.095278,-23.128481,0.973276,-1.807643,-0.551995,-0.458269,-0.141642,0.701769,0.069967,-0.149939,0.259880,-0.316527,0.057355,0.123993,0.004842,0.013643,0.007550,0.005815,0.024780,0.016110,0.040700,0.009352,0.008397,0.005828,0.005690,0.002006,0.015066,0.012617,0.027363,0.056792,0.011524,0.012266,0.211227,0.002138,0.040402,1.253651,0.304845,0.521799,0.100018,0.249574,0.204599,0.358305,0.215261,0.320541,0.269746,0.279518,0.209730,0.142434,0.006011,0.018830,0.004828,0.004044,0.015510,0.018974,0.032837,0.008266,0.007069,0.007421,0.003796,0.001170,0.007726,bark
0.062387,0.044067,3.136916,0.120238,0.153973,0.518107,0.004835,0.122500,-23.203659,1.770425,-1.986046,-0.223279,-0.379999,-0.259756,0.561510,0.207689,-0.035899,0.002068,-0.193091,-0.055968,-0.026007,0.002404,0.017315,0.013232,0.025114,0.016182,0.006361,0.065462,0.007583,0.003798,0.005555,0.010883,0.003352,0.023513,0.015385,0.035827,0.093789,0.010356,0.009139,0.213483,0.002429,0.071510,1.036224,0.542952,0.334192,0.352787,0.188740,0.258812,0.114019,0.309605,0.338122,0.277639,0.263147,0.220191,0.175981,0.001159,0.022000,0.004621,0.033535,0.011891,0.007366,0.051935,0.006917,0.003344,0.003803,0.008134,0.003332,0.010086,bark
0.020038,0.006571,3.116933,0.094161,0.157928,0.103339,0.033141,0.019462,-34.367073,2.226065,-0.479368,-0.119189,0.081279,0.124777,0.259382,0.107517,-0.152930,-0.057866,0.113511,0.048723,-0.134372,0.001174,0.002525,0.010082,0.003914,0.005153,0.002149,0.284922,0.002895,0.002127,0.001471,0.006425,0.001053,0.078458,0.014960,0.009299,0.181519,0.046258,0.083259,0.136608,0.114857,0.028056,6.519074,1.118570,0.577610,0.246049,0.279193,0.258091,0.175497,0.171860,0.204792,0.140440,0.179751,0.167903,0.141804,0.001725,0.004586,0.008810,0.005170,0.006531,0.001801,0.143095,0.004992,0.002999,0.001839,0.004634,0.001453,0.039029,bark
0.071332,0.022754,2.968060,0.112730,0.119743,0.730538,0.123839,0.153542,-28.396585,0.836745,-1.975693,-0.279054,-0.316135,0.364973,0.550222,-0.195360,-0.056828,0.253619,-0.275790,0.086606,0.178968,0.001676,0.001350,0.002358,0.004944,0.011114,0.014732,0.050150,0.012400,0.018735,0.003997,0.018087,0.003625,0.020185,0.042648,0.027456,0.500445,0.044648,0.049878,0.437302,0.316508,0.080762,8.614697,0.777261,0.813281,0.262920,0.177034,0.263905,0.352366,0.185286,0.235686,0.443924,0.327917,0.244853,0.159248,0.001368,0.001056,0.001794,0.003926,0.008986,0.016827,0.057413,0.011691,0.019544,0.004653,0.024801,0.003273,0.012445,bark
0.043716,0.010759,3.070153,0.129875,0.183294,0.309023,0.005696,0.065729,-29.309078,2.073642,-1.054567,-0.248688,-0.437020,0.131618,0.617464,-0.097368,-0.097167,0.249302,-0.324745,-0.020845,-0.062226,0.005388,0.004748,0.012895,0.005354,0.010095,0.003755,0.240371,0.006030,0.008668,0.002715,0.007366,0.001308,0.069191,0.026768,0.022653,0.225141,0.016426,0.038489,0.273570,0.004326,0.072003,3.741528,1.057161,1.032636,0.387325,0.504243,0.178794,0.202402,0.132638,0.126048,0.250392,0.344158,0.185746,0.180660,0.009356,0.011945,0.013828,0.006324,0.012140,0.005436,0.183162,0.009161,0.011974,0.002367,0.002767,0.001327,0.046222,bark
0.023599,0.004079,3.111260,0.097321,0.146598,0.135519,0.034037,0.019362,-36.102072,1.825459,-0.306301,-0.293465,-0.103650,-0.001578,0.169477,0.011428,0.021752,0.190826,-0.149171,-0.020274,-0.136706,0.005131,0.008825,0.007511,0.002291,0.002309,0.001982,0.251672,0.002258,0.005300,0.002335,0.005875,0.002032,0.069868,0.018260,0.011618,0.171673,0.039557,0.066761,0.136834,0.119714,0.020461,6.803527,1.123785,0.701671,0.470809,0.344279,0.242742,0.263868,0.177189,0.197249,0.273530,0.186702,0.191311,0.165258,0.010039,0.015097,0.005608,0.002733,0.002243,0.003135,0.129553,0.004036,0.009707,0.002552,0.005246,0.003451,0.034075,bark
0.033385,0.015683,3.056432,0.099703,0.151197,0.124902,0.089762,0.046515,-28.616198,1.267270,-1.737473,0.264011,-0.379836,0.055317,0.338750,0.414330,0.725003,-0.192931,-0.633458,0.194933,-0.100023,0.016515,0.016061,0.033472,0.020723,0.001507,0.000963,0.137872,0.001337,0.001693,0.006405,0.006883,0.001700,0.043805,0.016673,0.023186,0.291556,0.033995,0.059033,0.065531,0.265428,0.020322,7.270932,0.667686,0.790106,0.370228,0.333064,0.158994,0.204374,0.280947,0.327852,0.274173,0.408611,0.171168,0.119832,0.020022,0.014813,0.023469,0.026104,0.000895,0.000918,0.128057,0.001164,0.001688,0.004780,0.008661,0.002136,0.030022,bark
0.018080,0.006561,3.102822,0.092665,0.148756,0.081879,0.035285,0.012618,-35.148414,1.533248,-0.179876,0.287643,0.118311,0.141851,0.140199,0.046918,0.064302,-0.094104,-0.169660,0.094620,-0.013587,0.001892,0.001620,0.012753,0.001609,0.001906,0.002318,0.283868,0.000562,0.000872,0.001008,0.006706,0.001498,0.078554,0.015272,0.009684,0.239184,0.046420,0.080149,0.098428,0.117005,0.014656,6.454726,0.937692,0.811845,0.256695,0.417499,0.149648,0.172907,0.141237,0.158862,0.111262,0.226458,0.112963,0.119551,0.003553,0.003979,0.021681,0.002342,0.002063,0.003957,0.145160,0.000627,0.001098,0.001212,0.007746,0.003071,0.039484,bark
0.086599,0.024926,3.078083,0.124657,0.134820,0.888109,0.129013,0.166250,-27.813123,0.811604,-1.890000,-0.192906,-0.219300,0.230555,0.336125,-0.024195,0.274697,0.040685,-0.188947,-0.018039,-0.004881,0.005213,0.003171,0.011522,0.004614,0.004771,0.007685,0.080240,0.005173,0.010634,0.003737,0.005232,0.006548,0.023363,0.052724,0.028976,0.371828,0.049404,0.053284,0.519985,0.332139,0.082511,8.736309,0.604080,0.786445,0.471069,0.316522,0.158670,0.212866,0.319812,0.284854,0.256911,0.240942,0.206183,0.134506,0.006011,0.002767,0.011378,0.004236,0.004186,0.006211,0.075409,0.003962,0.013792,0.004046,0.004250,0.005912,0.019183,bark
0.044810,0.004944,3.134610,0.136976,0.190669,0.364963,0.007258,0.061785,-29.743655,2.646620,-0.551889,-0.748636,-0.047463,0.141587,0.293569,-0.217793,-0.135877,0.187120,0.050745,-0.005138,-0.141898,0.003266,0.002710,0.011017,0.003393,0.004930,0.006426,0.288503,0.004070,0.007374,0.005550,0.009169,0.002223,0.079193,0.029188,0.010736,0.112059,0.015354,0.021049,0.347429,0.001586,0.066326,1.593376,0.655089,0.641446,0.263022,0.219373,0.165622,0.219295,0.144219,0.266665,0.154786,0.263120,0.231339,0.162672,0.003164,0.002823,0.008552,0.002815,0.002698,0.006064,0.093466,0.002686,0.005389,0.004388,0.005111,0.003091,0.025032,bark
0.062711,0.010703,3.116725,0.145467,0.171440,0.595194,0.004148,0.110463,-29.173247,1.439284,-0.992008,-0.345031,-0.007371,0.180570,0.279260,-0.195700,0.069515,0.232880,-0.271234,0.049256,-0.025943,0.002283,0.003610,0.005928,0.006549,0.003685,0.005387,0.203367,0.004817,0.005932,0.011444,0.019293,0.003469,0.058552,0.028138,0.024997,0.144139,0.028815,0.029169,0.380620,0.002847,0.083196,3.116609,0.967569,1.303275,0.574502,0.296412,0.221389,0.308881,0.232100,0.255112,0.214628,0.296533,0.174813,0.213619,0.002888,0.005343,0.003964,0.008203,0.002444,0.005531,0.141018,0.006688,0.006579,0.015060,0.020677,0.004371,0.034623,bark
0.023130,0.005689,3.110078,0.103631,0.159871,0.157944,0.024382,0.029453,-37.016216,2.006100,-0.283117,-0.197670,-0.149944,0.057074,0.279529,0.081621,-0.055889,0.070489,-0.101362,0.034636,-0.077743,0.002684,0.003511,0.009962,0.001623,0.004353,0.004681,0.266330,0.002561,0.003804,0.001789,0.006124,0.003145,0.073867,0.016485,0.013680,0.197381,0.044384,0.079591,0.148653,0.078532,0.034940,5.845886,1.274234,0.745721,0.266378,0.176761,0.153946,0.167040,0.240733,0.249007,0.194159,0.176447,0.142920,0.162396,0.001846,0.004323,0.010697,0.001446,0.004174,0.006866,0.150395,0.004070,0.004726,0.001789,0.004866,0.003618,0.040211,bark
0.018642,0.005075,3.052124,0.087190,0.142876,0.074312,0.054995,0.014720,-37.320650,1.816631,-0.390242,-0.059190,-0.137989,0.163797,0.161685,0.064059,0.023417,0.010501,-0.178323,0.146926,-0.080713,0.003926,0.002683,0.007600,0.004516,0.006373,0.002562,0.248955,0.001337,0.000820,0.001966,0.005493,0.003142,0.069600,0.014095,0.013554,0.315174,0.049830,0.085506,0.075774,0.204649,0.013088,6.704194,1.255552,0.665170,0.300610,0.289288,0.248375,0.212882,0.185550,0.161576,0.153950,0.197910,0.156658,0.171191,0.003995,0.003172,0.007869,0.009505,0.008060,0.004147,0.134384,0.001900,0.000856,0.002154,0.004542,0.005905,0.035214,bark
0.036682,0.018893,2.914351,0.103641,0.147582,0.177203,0.101462,0.045833,-30.189825,1.133528,-1.795517,-0.000537,-0.584599,-0.156705,-0.107123,0.004218,0.476400,0.464678,-0.542189,-0.241663,0.068814,0.014833,0.019121,0.013792,0.001762,0.001592,0.001157,0.058549,0.005666,0.002976,0.009976,0.011156,0.013153,0.023309,0.019389,0.035053,0.397828,0.039119,0.060805,0.096778,0.259170,0.023960,8.153613,0.830251,1.154602,0.407822,0.509313,0.361664,0.206250,0.244562,0.381510,0.289450,0.424398,0.309579,0.126513,0.013331,0.018887,0.026281,0.001299,0.001080,0.000684,0.071019,0.007348,0.002440,0.016613,0.015389,0.014206,0.015264,bark
0.023539,0.004106,3.066534,0.099516,0.150123,0.146600,0.030470,0.024093,-36.475935,1.823126,-0.182208,0.086542,-0.075790,0.057981,0.045210,-0.025943,0.105365,-0.006213,0.015311,-0.054319,-0.120965,0.003575,0.002869,0.013309,0.004323,0.003081,0.002073,0.261791,0.003193,0.002169,0.005228,0.008248,0.001521,0.073256,0.015378,0.012666,0.224868,0.043566,0.072149,0.166944,0.100362,0.037919,5.692048,0.959862,0.793141,0.276129,0.339962,0.279845,0.221380,0.179800,0.220440,0.183105,0.166051,0.170370,0.130896,0.003998,0.004440,0.018309,0.008106,0.003723,0.002698,0.142011,0.008291,0.002660,0.005809,0.007623,0.001491,0.037079,bark
